,col_name,feature_importance_vals
533,ARFGAP2,2.057778908584564e-05
10379,VPS4A,2.0548790189423016e-05
303,ALDH1B1,2.0485992658773984e-05
374,ANAPC7,2.0473845700032565e-05
5923,NCK1,2.047223624992092e-05
2686,DVL1,2.0453989274981356e-05
5840,N6AMT1,2.044052751398941e-05
9728,TNFRSF11A,2.04371328945258e-05
106,ACOX1,2.0412446408412366e-05
7694,RFC2,2.0406598285332552e-05
7930,RPL36,2.0398453572476263e-05
4523,ITGA4,2.0386340511672293e-05
5375,MECOM,2.0381300074066534e-05
4108,HIST1H4L,2.037310050888244e-05
1393,CBL,2.0349913220868004e-05
7167,PRKAB1,2.0333518480389976e-05
4521,ITGA2,2.032110561829452e-05
9365,TEC,2.03086008447975e-05
2064,COX8A,2.0301690054881103e-05
4430,INPP5A,2.0282477348241802e-05
3504,FYN,2.0255401166534828e-05
9236,TAF8,2.0232783611526465e-05
4566,JAG2,2.0230437074913583e-05
7920,RPL28,2.0223988935168354e-05
1991,COL4A2,2.021860655645469e-05
5214,MAML2,2.01736962686447e-05
4214,HSD17B10,2.01699866591245e-05
5967,NDUFA6,2.0145422000220712e-05
3734,GNG11,2.01122094767269e-05
5378,MED1,2.0102037111547642e-05
4397,ILK,2.0065124116814996e-05
6217,NSL1,2.005556912046872e-05
8644,SLC6A6,2.0022344926874124e-05
4087,HIST1H2BK,2.0017130593539778e-05
8398,SHC1,1.997699336956115e-05
1918,CLTB,1.9974843570480517e-05
5742,MTHFS,1.99456539974381e-05
2585,DNMT1,1.9943034164062223e-05
3941,H2AFZ,1.9932957609223825e-05
383,ANK3,1.9916611420592098e-05
7284,PSMD14,1.990225157813851e-05
2001,COL6A3,1.989048249172881e-05
6636,PER1,1.9837055177655078e-05
8618,SLC3A2,1.982975021667025e-05
1989,COL3A1,1.9809732458279192e-05
10711,ZFYVE9,1.9781756810088013e-05
7109,PPP2R5B,1.9763990783653404e-05
7099,PPP2CA,1.9762446105230625e-05
9621,TMEM189-UBE2V1,1.975192088493189e-05
9913,TRMT112,1.9744284590272032e-05
10291,USP7,1.9720202624886095e-05
5917,NCBP2,1.9714702258638158e-05
7278,PSMC6,1.970445892447095e-05
9736,TNFSF10,1.9666248355266502e-05
6586,PDHA1,1.963050334775874e-05
9882,TRIM32,1.9600268715822202e-05
3395,FLT4,1.959436937255532e-05
7505,RAD21,1.957996231458135e-05
7974,RPS27,1.9579500368230092e-05
8238,SEL1L,1.957385316542898e-05
7035,PPARA,1.9541493720308924e-05
8537,SLC25A4,1.951251342639387e-05
458,AP2A1,1.9493904694310407e-05
4036,HEYL,1.9486083396294325e-05
1998,COL5A3,1.948251576378696e-05
6038,NFATC2,1.9477579065352302e-05
9831,TRADD,1.947725229254178e-05
3440,FOXO3,1.944303184933788e-05
4079,HIST1H2BC,1.9422359189145656e-05
5934,NCOA3,1.9420426206144644e-05
7475,RAB4A,1.9410005055682414e-05
10374,VPS37B,1.9386165742218964e-05
10373,VPS37A,1.9336215834842873e-05
8857,SOS2,1.9328721292994217e-05
10042,TUBA4A,1.9323457094761338e-05
10117,UBE2D2,1.9297045495118955e-05
9487,TIMP3,1.9279601968181536e-05
7514,RAE1,1.927678620264627e-05
937,BID,1.9211114383429397e-05
2120,CRK,1.9178575057856926e-05
4483,IRAK4,1.9163207089762252e-05
7994,RPS8,1.9143415407732243e-05
4893,LCK,1.9128493943080333e-05
9230,TAF4B,1.907462625489678e-05
7958,RPS11,1.904980744926049e-05
85,ACAT2,1.9049130690069918e-05
7575,RASGRP1,1.9028663298898278e-05
10104,UBA7,1.901369480175565e-05
524,ARAP2,1.9005192409392837e-05
10238,UQCRQ,1.8996213527153406e-05
8801,SNRPE,1.8995978366066222e-05
4577,JMJD1C,1.893439762091348e-05
8008,RRAGD,1.8903514311629213e-05
7280,PSMD10,1.8880476038309377e-05
1160,C1S,1.8877179071370602e-05
8233,SEC63,1.8871332042198657e-05
10044,TUBB3,1.8870903111693868e-05
4356,IKBKB,1.8856036127947216e-05
7965,RPS19,1.8852037013499076e-05
5957,NDUFA1,1.8779705593891397e-05
1508,CCNB2,1.8776198708372667e-05
6161,NPAS2,1.8770576624179606e-05
2957,ERCC2,1.8758112372224263e-05
10292,USP8,1.87553081505318e-05
9221,TAF13,1.8749681961010696e-05
4097,HIST1H3G,1.8726461570613887e-05
6191,NR3C1,1.8686400096433998e-05
